DATUMVOLEB,POCETDNI,POPISVOLEB
20220923,2,"Řádné volby podzim 2022"
20221115,1,"Rozhodnutí krajských soudů o neplatnosti volby kandidáta a jejich promítnutí do datových fondů s výsledky voleb do zastupitelstev obcí, konaných ve dnech 23. - 24. 9. 2022:
- Sovínky, okr. Mladá Boleslav, KS v Praze, 55A 72/2022, 55A 73/2022
- Stanovice, okr. Trutnov, KS v Hradci Králové, 31A 29/2022
- Matějov, okr. Žďár nad Sázavou, KS v Brně, 73A 4/2022"
20230107,1,"Sdělení MV č. 282/2022 Sb. - Dodatečné volby v 11 obcích.
Sdělení MV č. 294/2022 Sb. - Nové volby v 1 obci.
Sdělení MV č. 341/2022 Sb. - Opakované hlasování v 1 obci."
20230218,1,"Sdělení MV č. 342/2022 Sb. - Opakované volby v 1 obci."
20230325,1,"Sdělení MV č. 327/2022 Sb. - Nové volby ve 4 obcích.
Sdělení MV č. 347/2022 Sb. - Nové volby v 17 obcích.
Sdělení MV č. 394/2022 Sb. - Nové volby v 8 obcích.
Sdělení MV č. 448/2022 Sb. - Nové volby ve 4 obcích."
20230617,1,"Sdělení MV č. 22/2023 Sb. - Dodatečné volby v 1 obci.
Sdělení MV č. 23/2023 Sb. - Nové volby ve 4 obcích.
Sdělení MV č. 39/2023 Sb. - Nové volby ve 3 obcích.
Sdělení MV č. 68/2023 Sb. - Nové volby v 1 obci."
20230916,1,"Sdělení MV č. 116/2023 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 129/2023 Sb. - Nové volby ve 4 obcích.
Sdělení MV č. 158/2023 Sb. - Nové volby ve 3 obcích.
Sdělení MV č. 164/2023 Sb. - Nové volby ve 2 obcích."
20231209,1,"Sdělení MV č. 219/2023 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 220/2023 Sb. - Dodatečné volby v 1 obci.
Sdělení MV č. 240/2023 Sb. - Nové volby ve 3 obcích a 1 městské části.
Sdělení MV č. 269/2023 Sb. - Nové volby ve 2 obcích."
20240323,1,"Sdělení MV č. 314/2023 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 314/2023 Sb. - Dodatečné volby v 1 obci.
Sdělení MV č. 331/2023 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 355/2023 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 379/2023 Sb. - Nové volby v 1 obci."
20240622,1,"Sdělení MV č. 2/2024 Sb. - Dodatečné volby v 1 obci.
Sdělení MV č. 25/2024 Sb. - Nové volby ve 4 obcích.
Sdělení MV č. 42/2024 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 66/2024 Sb. - Nové volby ve 2 obcích."
20241005,1,"Sdělení MV č. 95/2024 Sb. - Nové volby v 5 obcích.
Sdělení MV č. 122/2024 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 159/2024 Sb. - Nové volby ve 3 obcích.
Sdělení MV č. 209/2024 Sb. - Nové volby v 1 obci."
20241207,1,"Sdělení MV č. 226/2024 Sb. - Nové volby ve 2 obcích.

Sdělení MV č. 226/2024 Sb. - Dodatečné volby v 1 obci.

Sdělení MV č. 257/2024 Sb. - Nové volby ve 2 obcích."
20250315,1,"Sdělení MV č. 336/2024 Sb. - Nové volby ve 2 obcích.
Sdělení MV č. 380/2024 Sb. - Nové volby ve 4 obcích."
20250614,1,"Sdělení MV č. 1/2025 Sb. - Nové volby v 1 obci.
Sdělení MV č. 1/2025 Sb. - Dodatečné volby v 1 obci.
Sdělení MV č. 22/2025 Sb. - Nové volby v 1 obci.
Sdělení MV č. 59/2025 Sb. - Nové volby ve 2 obcích."
20250913,1,"Sdělení MV č. 101/2025 Sb. - Nové volby ve 3 obcích.
Sdělení MV č. 123/2025 Sb. - Nové volby ve 3 obcích.
Sdělení MV č. 170/2025 Sb. - Nové volby v 1 obci."
